W0,1000000.0,W,10000.0,N,10,FLNG position,5000.0,FSRU position,0
 , ,wave,FSRU,,FLNG,,ship0,,,,,ship1,,,,,ship2,,,,,ship3,,,,,ship4,,,,,ship5,,,,,ship6,,,,,ship7,,,,,ship8,,,,,ship9,,,,
day,time,enableLoad,amount,loading,amount,loading,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime,positon,amount,loadingTime,V,nextGoalTime
3,0,1,0.0,0,40000.0,0,1600.0,0.0,0,40.0,86,1041.666666666666,0.0,0,26.04166666666667,153,813.0081300813013,0.0,0,20.32520325203252,207,641.0256410256411,0.0,0,16.025641025641026,273,546.4480874316945,0.0,0,13.661202185792348,327,462.962962962963,0.0,0,11.574074074074074,393,411.5226337448558,0.0,0,10.2880658436214,447,362.31884057971007,0.0,0,9.057971014492754,513,330.0330033003298,0.0,0,8.250825082508252,567,297.61904761904793,0.0,0,7.440476190476191,633,
3,1,1,0.0,0,41000.0,0,1640.0,0.0,0,40.0,85,1067.7083333333328,0.0,0,26.04166666666667,152,833.3333333333338,0.0,0,20.325203252032516,206,657.0512820512821,0.0,0,16.025641025641026,272,560.1092896174869,0.0,0,13.66120218579235,326,474.53703703703707,0.0,0,11.574074074074074,392,421.8106995884772,0.0,0,10.2880658436214,446,371.3768115942028,0.0,0,9.057971014492754,512,338.28382838283807,0.0,0,8.25082508250825,566,305.05952380952414,0.0,0,7.440476190476191,632,
3,2,1,0.0,0,42000.0,0,1680.0,0.0,0,40.0,84,1093.7499999999995,0.0,0,26.041666666666668,151,853.6585365853664,0.0,0,20.325203252032516,205,673.0769230769231,0.0,0,16.025641025641026,271,573.7704918032792,0.0,0,13.661202185792348,325,486.11111111111114,0.0,0,11.574074074074073,391,432.09876543209856,0.0,0,10.2880658436214,445,380.43478260869557,0.0,0,9.057971014492754,511,346.5346534653463,0.0,0,8.250825082508252,565,312.50000000000034,0.0,0,7.440476190476191,631,
3,3,1,0.0,0,43000.0,0,1720.0,0.0,0,40.0,83,1119.7916666666663,0.0,0,26.04166666666667,150,873.983739837399,0.0,0,20.32520325203252,204,689.1025641025641,0.0,0,16.025641025641026,270,587.4316939890716,0.0,0,13.661202185792346,324,497.6851851851852,0.0,0,11.574074074074074,390,442.38683127571994,0.0,0,10.2880658436214,444,389.4927536231883,0.0,0,9.057971014492754,510,354.78547854785455,0.0,0,8.250825082508252,564,319.94047619047655,0.0,0,7.440476190476191,630,
3,4,1,0.0,0,44000.0,0,1760.0,0.0,0,40.0,82,1145.833333333333,0.0,0,26.04166666666667,149,894.3089430894315,0.0,0,20.325203252032516,203,705.1282051282051,0.0,0,16.025641025641026,269,601.092896174864,0.0,0,13.661202185792348,323,509.2592592592593,0.0,0,11.574074074074074,389,452.6748971193413,0.0,0,10.288065843621398,443,398.55072463768107,0.0,0,9.057971014492754,509,363.0363036303628,0.0,0,8.25082508250825,563,327.38095238095275,0.0,0,7.440476190476191,629,
3,5,1,0.0,0,45000.0,0,1800.0,0.0,0,40.0,81,1171.8749999999998,0.0,0,26.041666666666668,148,914.6341463414641,0.0,0,20.325203252032516,202,721.1538461538461,0.0,0,16.025641025641026,268,614.7540983606564,0.0,0,13.661202185792348,322,520.8333333333334,0.0,0,11.574074074074074,388,462.9629629629627,0.0,0,10.2880658436214,442,407.6086956521738,0.0,0,9.057971014492754,508,371.28712871287104,0.0,0,8.250825082508252,562,334.82142857142895,0.0,0,7.440476190476191,628,
3,6,1,0.0,0,46000.0,0,1840.0,0.0,0,40.0,80,1197.9166666666665,0.0,0,26.041666666666668,147,934.9593495934967,0.0,0,20.325203252032516,201,737.1794871794871,0.0,0,16.025641025641026,267,628.4153005464487,0.0,0,13.66120218579235,321,532.4074074074074,0.0,0,11.574074074074074,387,473.2510288065841,0.0,0,10.2880658436214,441,416.6666666666666,0.0,0,9.057971014492754,507,379.5379537953793,0.0,0,8.250825082508252,561,342.26190476190516,0.0,0,7.440476190476189,627,
3,7,1,0.0,0,47000.0,0,1880.0,0.0,0,40.0,79,1223.9583333333333,0.0,0,26.041666666666668,146,955.2845528455292,0.0,0,20.325203252032516,200,753.2051282051281,0.0,0,16.025641025641026,266,642.0765027322411,0.0,0,13.661202185792348,320,543.9814814814815,0.0,0,11.574074074074076,386,483.53909465020547,0.0,0,10.2880658436214,440,425.7246376811593,0.0,0,9.057971014492754,506,387.7887788778875,0.0,0,8.250825082508252,560,349.70238095238136,0.0,0,7.440476190476189,626,
3,8,1,0.0,0,48000.0,0,1920.0,0.0,0,40.0,78,1250.0,0.0,0,26.041666666666668,145,975.6097560975618,0.0,0,20.325203252032516,199,769.230769230769,0.0,0,16.025641025641026,265,655.7377049180335,0.0,0,13.661202185792346,319,555.5555555555555,0.0,0,11.574074074074073,385,493.82716049382685,0.0,0,10.2880658436214,439,434.7826086956521,0.0,0,9.057971014492754,505,396.03960396039577,0.0,0,8.250825082508252,559,357.14285714285757,0.0,0,7.44047619047619,625,
3,9,1,0.0,0,49000.0,0,1960.0,0.0,0,40.0,77,1276.0416666666667,0.0,0,26.041666666666668,144,995.9349593495944,0.0,0,20.325203252032516,198,785.25641025641,0.0,0,16.025641025641026,264,669.3989071038259,0.0,0,13.661202185792348,318,567.1296296296296,0.0,0,11.574074074074074,384,504.11522633744823,0.0,0,10.288065843621398,438,443.8405797101448,0.0,0,9.057971014492754,504,404.290429042904,0.0,0,8.250825082508252,558,364.58333333333377,0.0,0,7.44047619047619,624,
